"from","to","width","title"
"CAPNS1","APLP1",3,"CAPNS1-APLP1<br />0.2923"
"CATSPERG","APLP1",3,"CATSPERG-APLP1<br />0.2836"
"CEACAM16","APLP1",2,"CEACAM16-APLP1<br />0.1708"
"CHST8","APLP1",3,"CHST8-APLP1<br />0.2954"
"FAM98C","APLP1",3,"FAM98C-APLP1<br />0.3077"
"FFAR2","APLP1",3,"FFAR2-APLP1<br />0.2874"
"IGFLR1","APLP1",3,"IGFLR1-APLP1<br />0.3424"
"KMT2B","APLP1",2,"KMT2B-APLP1<br />0.2157"
"LGALS14","APLP1",3,"LGALS14-APLP1<br />0.2988"
"LIN37","APLP1",1,"LIN37-APLP1<br />0.1233"
"LSM14A","APLP1",1,"LSM14A-APLP1<br />0.147"
"MAG","APLP1",4,"MAG-APLP1<br />0.3765"
"PPP1R14A","APLP1",2,"PPP1R14A-APLP1<br />0.2448"
"PRODH2","APLP1",2,"PRODH2-APLP1<br />0.1747"
"PRX","APLP1",2,"PRX-APLP1<br />0.2318"
"RELB","APLP1",2,"RELB-APLP1<br />0.1646"
"RHPN2","APLP1",2,"RHPN2-APLP1<br />0.2051"
"RYR1","APLP1",3,"RYR1-APLP1<br />0.3206"
"U2AF1L4","APLP1",3,"U2AF1L4-APLP1<br />0.2723"
"WDR62","APLP1",2,"WDR62-APLP1<br />0.2283"
"WDR88","APLP1",3,"WDR88-APLP1<br />0.312"
"ZFAND5","APLP1",2,"ZFAND5-APLP1<br />0.215"
"ZNF599","APLP1",2,"ZNF599-APLP1<br />0.2328"
"ZNF792","APLP1",3,"ZNF792-APLP1<br />0.3237"
"ZNF793","APLP1",3,"ZNF793-APLP1<br />0.28"
"CATSPERG","CAPNS1",4,"CATSPERG-CAPNS1<br />0.3758"
"CEACAM16","CAPNS1",1,"CEACAM16-CAPNS1<br />0.1466"
"CHST8","CAPNS1",2,"CHST8-CAPNS1<br />0.1721"
"FAM98C","CAPNS1",2,"FAM98C-CAPNS1<br />0.2214"
"FFAR2","CAPNS1",3,"FFAR2-CAPNS1<br />0.2776"
"IGFLR1","CAPNS1",2,"IGFLR1-CAPNS1<br />0.2225"
"KMT2B","CAPNS1",2,"KMT2B-CAPNS1<br />0.1935"
"LGALS14","CAPNS1",3,"LGALS14-CAPNS1<br />0.2849"
"LIN37","CAPNS1",2,"LIN37-CAPNS1<br />0.1813"
"LSM14A","CAPNS1",1,"LSM14A-CAPNS1<br />0.1097"
"MAG","CAPNS1",3,"MAG-CAPNS1<br />0.3148"
"NFKBIB","CAPNS1",3,"NFKBIB-CAPNS1<br />0.2763"
"NOP53","CAPNS1",1,"NOP53-CAPNS1<br />0.1372"
"PPP1R14A","CAPNS1",2,"PPP1R14A-CAPNS1<br />0.178"
"PRODH2","CAPNS1",1,"PRODH2-CAPNS1<br />0.138"
"PRX","CAPNS1",2,"PRX-CAPNS1<br />0.2222"
"RHPN2","CAPNS1",1,"RHPN2-CAPNS1<br />0.1426"
"RYR1","CAPNS1",2,"RYR1-CAPNS1<br />0.215"
"U2AF1L4","CAPNS1",2,"U2AF1L4-CAPNS1<br />0.2433"
"WDR62","CAPNS1",1,"WDR62-CAPNS1<br />0.1452"
"WDR88","CAPNS1",2,"WDR88-CAPNS1<br />0.2179"
"ZFAND5","CAPNS1",1,"ZFAND5-CAPNS1<br />0.1127"
"ZNF599","CAPNS1",2,"ZNF599-CAPNS1<br />0.2283"
